Actual,Recorded
19.6,20.9
36,34.27
38,36.09
38,35.56
40,36.21
45,42.3
45,41.84
50,47.24
60,56.39
80,76.85
90,88.61
90,87.84
100,94.44
100,95.22
110,105.43
122.3,117.61
72,68.89
63.3,60.06
197.3,195.15
179.3,178.9
157,154.9
200,199.1
121.2,120.19
40.1,39.6
50.1,49.28
60.1,58.92
12.5,11.95
15,15.79
20,19.87
26,27.32
31.5,31.94
26,28.66
187.1,188.04
177,176.7
170.1,169.42
160,159.72
145,144.76
135,133.89
120,118.86
111,110.62
121,120.48
147,146.35
167,167
173,172.58
191,189.02
202,200.33
216,214.61
197,197.2
219.2,220.93
240,239.68
246,249.31
257.5,258.31
273.8,275.03
289,294.9
315,314.14
140,137
120,118
100,98
67,66
54,54
102,102
135,134
75,74
34,35
92,91
268,266
60,57
30,31
40,41
80,77
70,68
50,49
44,43
59,58
80,78
72,69
